expense_id,employee_id,amount,expense_type,submission_day,flagged
1,1179,215.32,Accommodation,Weekday,0
2,1168,0.11,Meals,Weekday,0
3,1090,106.16,Supplies,Weekday,0
4,1087,66.52,Travel,Weekday,0
5,1165,232.75,Accommodation,Weekend,1
6,1126,76.7,Travel,Weekday,0
7,1068,157.45,Supplies,Weekday,0
8,1143,240.7,Meals,Weekday,0
9,1038,141.38,Accommodation,Weekday,0
10,1096,99.57,Meals,Weekday,0
11,1050,133.95,Supplies,Weekday,0
12,1132,40.24,Accommodation,Weekday,0
13,1115,31.67,Accommodation,Weekday,0
14,1082,154.76,Supplies,Weekday,0
15,1189,24.97,Supplies,Weekday,0
16,1114,117.32,Supplies,Weekday,0
17,1040,113.11,Travel,Weekday,0
18,1084,238.84,Accommodation,Weekday,0
19,1194,152.87,Meals,Weekday,0
20,1058,104.11,Accommodation,Weekday,0
21,1091,177.69,Accommodation,Weekday,0
22,1146,132.12,Travel,Weekday,0
23,1079,55.5,Meals,Weekday,0
24,1061,138.67,Meals,Weekday,0
25,1180,130.29,Accommodation,Weekday,0
26,1193,126.1,Accommodation,Weekday,0
27,1007,148.0,Meals,Weekday,0
28,1045,185.03,Supplies,Weekday,0
29,1101,143.0,Meals,Weekday,0
30,1139,44.28,Meals,Weekday,0
31,1087,30.06,Supplies,Weekday,0
32,1064,98.07,Supplies,Weekend,1
33,1022,93.9,Accommodation,Weekday,0
34,1038,142.28,Travel,Weekday,0
35,1059,200.48,Supplies,Weekday,0
36,1154,214.71,Travel,Weekday,0
37,1184,81.98,Accommodation,Weekday,0
38,1043,14.49,Supplies,Weekend,1
39,1069,124.09,Accommodation,Weekday,0
40,1155,186.41,Accommodation,Weekday,0
41,1150,94.3,Travel,Weekday,0
42,1115,123.75,Meals,Weekday,0
43,1033,110.35,Accommodation,Weekend,1
44,1024,215.39,Supplies,Weekday,0
45,1138,258.52,Travel,Weekday,0
46,1047,160.2,Meals,Weekday,0
47,1064,161.58,Meals,Weekday,0
48,1101,36.51,Travel,Weekday,0
49,1137,94.87,Meals,Weekday,0
50,1153,173.16,Travel,Weekday,0
51,1137,144.43,Meals,Weekend,1
52,1017,150.77,Meals,Weekday,0
53,1187,17.55,Accommodation,Weekday,0
54,1072,7.62,Supplies,Weekday,0
55,1044,237.39,Meals,Weekday,0
56,1153,111.09,Meals,Weekday,0
57,1105,19.94,Supplies,Weekday,0
58,1136,112.66,Supplies,Weekday,0
59,1035,33.97,Supplies,Weekend,1
60,1142,50.92,Meals,Weekend,1
61,1151,75.38,Accommodation,Weekday,0
62,1167,33.9,Accommodation,Weekday,0
63,1129,83.75,Supplies,Weekday,0
64,1131,165.58,Travel,Weekend,1
65,1094,84.92,Meals,Weekday,0
66,1019,177.04,Accommodation,Weekday,0
67,1166,122.23,Travel,Weekday,0
68,1044,10.73,Travel,Weekday,0
69,1153,118.24,Travel,Weekday,0
70,1187,204.87,Accommodation,Weekday,0
71,1196,114.03,Meals,Weekend,1
72,1067,76.58,Meals,Weekday,0
73,1085,33.48,Travel,Weekday,0
74,1069,85.33,Meals,Weekday,0
75,1117,50.24,Meals,Weekday,0
76,1030,91.37,Accommodation,Weekday,0
77,1126,11.09,Travel,Weekday,0
78,1196,47.0,Meals,Weekday,0
79,1134,155.81,Supplies,Weekday,0
80,1068,128.71,Meals,Weekday,0
81,1003,100.02,Meals,Weekday,0
82,1036,43.87,Travel,Weekend,1
83,1117,218.59,Meals,Weekday,0
84,1001,250.54,Travel,Weekday,0
85,1176,45.59,Accommodation,Weekend,1
86,1016,171.74,Supplies,Weekday,0
87,1016,48.88,Accommodation,Weekend,1
88,1167,152.02,Accommodation,Weekday,0
89,1050,24.79,Accommodation,Weekday,0
90,1113,82.99,Supplies,Weekday,0
91,1027,131.42,Travel,Weekend,1
92,1121,143.34,Travel,Weekday,0
93,1045,58.82,Travel,Weekday,0
94,1113,155.44,Supplies,Weekday,0
95,1108,114.88,Supplies,Weekend,1
96,1126,31.93,Travel,Weekday,0
97,1105,52.17,Travel,Weekday,0
98,1086,218.64,Travel,Weekday,0
99,1101,131.01,Meals,Weekday,0
100,1048,93.78,Meals,Weekday,0
101,1144,28.82,Meals,Weekday,0
102,1026,85.62,Meals,Weekend,1
103,1189,131.72,Meals,Weekday,0
104,1010,143.21,Meals,Weekday,0
105,1123,127.52,Travel,Weekday,0
106,1171,79.05,Accommodation,Weekday,0
107,1107,5.71,Supplies,Weekend,1
108,1035,114.27,Meals,Weekday,0
109,1120,117.71,Accommodation,Weekday,0
110,1143,67.38,Meals,Weekday,0
111,1059,107.2,Accommodation,Weekday,0
112,1096,125.97,Travel,Weekday,0
113,1179,139.63,Supplies,Weekday,0
114,1021,169.05,Meals,Weekday,0
115,1076,27.12,Supplies,Weekday,0
116,1198,147.59,Travel,Weekday,0
117,1120,22.6,Meals,Weekday,0
118,1037,56.79,Supplies,Weekday,0
119,1064,185.01,Supplies,Weekday,0
120,1178,45.61,Meals,Weekday,0
121,1085,172.74,Travel,Weekday,0
122,1126,84.26,Supplies,Weekday,0
123,1150,210.18,Meals,Weekend,1
124,1126,37.71,Meals,Weekday,0
125,1014,114.59,Supplies,Weekday,0
126,1107,49.34,Supplies,Weekday,0
127,1078,125.53,Supplies,Weekday,0
128,1030,20.31,Meals,Weekend,1
129,1155,104.66,Meals,Weekend,1
130,1066,67.25,Travel,Weekday,0
131,1169,228.21,Accommodation,Weekday,0
132,1152,92.58,Accommodation,Weekday,0
133,1032,220.2,Accommodation,Weekday,0
134,1096,59.57,Supplies,Weekday,0
135,1150,80.16,Travel,Weekday,0
136,1091,165.56,Accommodation,Weekday,0
137,1052,46.58,Travel,Weekend,1
138,1143,186.84,Travel,Weekday,0
139,1164,111.4,Accommodation,Weekday,0
140,1132,155.98,Accommodation,Weekday,0
141,1138,173.52,Accommodation,Weekend,1
142,1011,253.09,Supplies,Weekday,0
143,1020,183.86,Travel,Weekday,0
144,1145,131.47,Travel,Weekday,0
145,1141,172.03,Meals,Weekday,0
146,1032,165.58,Supplies,Weekday,0
147,1148,150.12,Meals,Weekend,1
148,1153,241.56,Travel,Weekday,0
149,1152,106.39,Accommodation,Weekday,0
150,1034,129.17,Meals,Weekday,0
151,1062,85.23,Travel,Weekday,0
152,1113,285.94,Accommodation,Weekday,0
153,1116,101.28,Meals,Weekday,0
154,1118,141.23,Supplies,Weekday,0
155,1124,62.55,Travel,Weekday,0
156,1147,95.13,Supplies,Weekday,0
157,1062,181.03,Supplies,Weekday,0
158,1193,112.28,Travel,Weekday,0
159,1104,190.85,Supplies,Weekday,0
160,1117,169.4,Travel,Weekday,0
161,1139,113.72,Travel,Weekday,0
162,1031,66.74,Accommodation,Weekday,0
163,1106,137.92,Meals,Weekday,0
164,1096,137.98,Travel,Weekday,0
165,1047,120.97,Meals,Weekday,0
166,1119,138.11,Travel,Weekday,0
167,1186,77.89,Supplies,Weekday,0
168,1019,159.74,Meals,Weekday,0
169,1104,145.5,Travel,Weekday,0
170,1100,74.18,Travel,Weekday,0
171,1036,91.54,Accommodation,Weekday,0
172,1039,116.71,Supplies,Weekday,0
173,1118,92.07,Travel,Weekday,0
174,1188,73.43,Supplies,Weekday,0
175,1055,182.36,Meals,Weekday,0
176,1013,173.55,Supplies,Weekday,0
177,1163,156.45,Travel,Weekday,0
178,1089,49.59,Supplies,Weekday,0
179,1033,231.12,Accommodation,Weekday,0
180,1005,139.09,Accommodation,Weekday,0
181,1045,112.51,Supplies,Weekend,1
182,1118,169.88,Accommodation,Weekend,1
183,1149,113.02,Supplies,Weekend,1
184,1098,52.83,Accommodation,Weekday,0
185,1082,135.86,Travel,Weekday,0
186,1150,185.53,Travel,Weekday,0
187,1113,142.94,Supplies,Weekday,0
188,1063,8.31,Meals,Weekday,0
189,1095,171.13,Travel,Weekday,0
190,1171,136.38,Meals,Weekday,0
191,1010,140.48,Travel,Weekday,0
192,1067,28.56,Supplies,Weekend,1
193,1060,86.75,Supplies,Weekday,0
194,1075,53.92,Supplies,Weekday,0
195,1055,174.21,Meals,Weekday,0
196,1178,148.3,Meals,Weekday,0
197,1062,82.13,Meals,Weekday,0
198,1029,75.02,Supplies,Weekday,0
199,1009,101.12,Supplies,Weekday,0
200,1150,137.36,Accommodation,Weekday,0
201,1000,173.3,Travel,Weekday,0
202,1047,65.29,Supplies,Weekday,0
203,1131,141.62,Meals,Weekday,0
204,1118,98.0,Accommodation,Weekday,0
205,1155,56.69,Travel,Weekday,0
206,1171,88.04,Meals,Weekend,1
207,1116,144.11,Supplies,Weekday,0
208,1066,71.05,Accommodation,Weekday,0
209,1129,140.95,Meals,Weekday,0
210,1104,161.88,Supplies,Weekday,0
211,1057,189.23,Supplies,Weekday,0
212,1005,56.24,Meals,Weekday,0
213,1169,190.53,Accommodation,Weekday,0
214,1016,121.98,Meals,Weekday,0
215,1164,25.71,Supplies,Weekday,0
216,1171,105.52,Meals,Weekday,0
217,1022,102.24,Travel,Weekend,1
218,1039,87.66,Accommodation,Weekday,0
219,1171,45.71,Travel,Weekday,0
220,1158,134.31,Supplies,Weekday,0
221,1075,116.33,Travel,Weekday,0
222,1123,86.96,Supplies,Weekday,0
223,1140,62.67,Supplies,Weekday,0
224,1123,10.13,Accommodation,Weekday,0
225,1097,212.83,Meals,Weekday,0
226,1019,104.0,Supplies,Weekday,0
227,1174,167.63,Travel,Weekend,1
228,1009,186.96,Meals,Weekday,0
229,1192,182.3,Travel,Weekday,0
230,1051,160.26,Travel,Weekday,0
231,1062,133.46,Travel,Weekday,0
232,1156,17.96,Supplies,Weekday,0
233,1181,214.58,Meals,Weekday,0
234,1125,51.53,Supplies,Weekday,0
235,1085,209.55,Meals,Weekday,0
236,1049,102.32,Meals,Weekday,0
237,1064,179.23,Meals,Weekday,0
238,1043,171.16,Accommodation,Weekday,0
239,1007,141.68,Accommodation,Weekday,0
240,1008,141.34,Supplies,Weekend,1
241,1022,109.28,Accommodation,Weekday,0
242,1161,122.75,Travel,Weekend,1
243,1015,122.31,Meals,Weekday,0
244,1189,129.79,Meals,Weekday,0
245,1064,112.03,Accommodation,Weekday,0
246,1179,40.11,Travel,Weekday,0
247,1112,94.91,Travel,Weekday,0
248,1150,145.61,Travel,Weekday,0
249,1037,112.02,Accommodation,Weekday,0
250,1121,120.59,Supplies,Weekday,0
251,1167,83.59,Travel,Weekday,0
252,1113,154.39,Supplies,Weekday,0
253,1007,157.47,Meals,Weekend,1
254,1031,19.77,Accommodation,Weekend,1
255,1039,26.44,Travel,Weekday,0
256,1193,109.12,Meals,Weekday,0
257,1175,150.14,Accommodation,Weekday,0
258,1012,137.98,Meals,Weekday,0
259,1122,111.66,Travel,Weekend,1
260,1026,169.97,Supplies,Weekday,0
261,1173,156.36,Accommodation,Weekday,0
262,1070,108.1,Meals,Weekday,0
263,1002,111.6,Meals,Weekday,0
264,1084,41.5,Supplies,Weekday,0
265,1060,126.03,Meals,Weekday,0
266,1071,153.71,Travel,Weekday,0
267,1192,76.71,Supplies,Weekday,0
268,1144,122.32,Travel,Weekday,0
269,1153,140.19,Travel,Weekday,0
270,1028,172.28,Travel,Weekday,0
